model,RMSE,R2,MAPE
prophet,14.566361900955627,0.5417535742737496,0.19484827506693883
gnn,14.934943934195822,0.5182695621495925,0.21572548137662168
rf_randomized,15.592588676798847,0.4749104928960258,0.21027850043710053
mlp_grid,16.18231842698945,0.4344403981246593,0.2125743725804493
rf_grid,16.393299708604623,0.4195969948723024,0.22186049711988765
rf_ga,16.585270045580874,0.4059240255724933,0.22089207632980207
transformer,17.21673273560038,0.35982550126320534,0.21649557602355415
mlp_randomized,17.281558071691954,0.35499558890254634,0.21759019869707635
mlp_ga,17.558083185359806,0.33418879580503136,0.2252279832874717
rnn,17.790617453562547,0.3164363861019378,0.2643849330492919
lstm,18.154752059376808,0.28816794877317187,0.26729561363514354
svr,19.792308615477694,0.15396213048278196,0.2580233778368427
arima,20.344803870902027,0.10606918218993255,0.2749729083151577
catboost,20.827135088002255,0.06318041274142361,0.26841601247911134
xgboost,22.65047738340553,-0.10803024200491462,0.29434994075120396
